audit_id,case_key,behavior,difficulty_bucket,query_ids,queries,scene_name,sample_idx,category_name,validation_score,validation_quality_score,passed,system_event_start_sample_idx,system_event_end_sample_idx,system_event_peak_sample_idx,figure_path,report_dir,semantic_match,primary_actor_correct,behavior_correct,event_window_correct,event_start_sample_idx,event_end_sample_idx,event_peak_sample_idx,confidence,notes
audit_0001,cbbd333271434197b1bd8302ae03100f:5206449eec0d42229bd1a12f1769f233,stopped_lead,high_score,stopped_lead_vehicle|left_close_vehicle,stopped lead vehicle blocking ego|close vehicle on the left of ego,scene-0271,10,vehicle.car,96.27,96.27,True,6,10,10,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_01_scene_0271_sample_010/evidence.png,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_01_scene_0271_sample_010,,,,,,,,,
audit_0002,1244ad3ad1dd409c96c5158b529c89ef:2120c359c7514f69a29f64e2ec530afe,proximity,high_score,front_close_vehicle|right_close_vehicle,close vehicle in front of ego|close vehicle on the right of ego,scene-0221,34,vehicle.car,92.83,92.83,True,30,38,34,../../outputs/trainval_case_library_v1/close_vehicle_in_front_of_ego/rank_01_scene_0221_sample_034/evidence.png,../../outputs/trainval_case_library_v1/close_vehicle_in_front_of_ego/rank_01_scene_0221_sample_034,,,,,,,,,
audit_0003,3836cb8602f14e40817a398eedb0fcf6:8c8554b54714408682031a66063ab438,proximity,high_score,front_close_vehicle|right_close_vehicle,close vehicle in front of ego|close vehicle on the right of ego,scene-0154,36,vehicle.car,92.56,92.56,True,32,38,36,../../outputs/trainval_case_library_v1/close_vehicle_in_front_of_ego/rank_02_scene_0154_sample_036/evidence.png,../../outputs/trainval_case_library_v1/close_vehicle_in_front_of_ego/rank_02_scene_0154_sample_036,,,,,,,,,
audit_0004,f90fa768036b477ebe3fc81978e7ef63:648502c5aec244eeb801f677fce6a6c1,stopped_lead,high_score,stopped_lead_truck,stopped truck blocking ego,scene-0058,23,vehicle.construction,96.55,96.55,True,22,23,23,../../outputs/trainval_case_library_v1/stopped_truck_blocking_ego/rank_01_scene_0058_sample_023/evidence.png,../../outputs/trainval_case_library_v1/stopped_truck_blocking_ego/rank_01_scene_0058_sample_023,,,,,,,,,
audit_0005,975986d3c8664be8818a5cae9bc30e09:648502c5aec244eeb801f677fce6a6c1,stopped_lead,high_score,stopped_lead_truck,stopped truck blocking ego,scene-0058,22,vehicle.construction,96.55,96.55,True,22,23,23,../../outputs/trainval_case_library_v1/stopped_truck_blocking_ego/rank_02_scene_0058_sample_022/evidence.png,../../outputs/trainval_case_library_v1/stopped_truck_blocking_ego/rank_02_scene_0058_sample_022,,,,,,,,,
audit_0006,896299aad3b24c6fac597737ad9a7a69:fb5287f6629c4ae89a4a6caba2fb763e,stopped_lead,high_score,stopped_lead_vehicle,stopped lead vehicle blocking ego,scene-0305,32,vehicle.car,96.08,96.08,True,28,32,32,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_02_scene_0305_sample_032/evidence.png,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_02_scene_0305_sample_032,,,,,,,,,
audit_0007,f9dd9bcb529140b19ccfca5703057a36:ae92b23cc87a481a91f208c3c699869c,stopped_lead,high_score,stopped_lead_vehicle,stopped lead vehicle blocking ego,scene-0396,6,vehicle.car,96.06,96.06,True,2,6,6,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_03_scene_0396_sample_006/evidence.png,../../outputs/trainval_case_library_v1/stopped_lead_vehicle_blocking_ego/rank_03_scene_0396_sample_006,,,,,,,,,
audit_0008,0b9f33809d7f4e59a9fcf1703c896721:077998202a8f48479652b58e8c4ba3c5,proximity,high_score,front_vru_close,close VRU in front of ego,scene-0991,31,human.pedestrian.adult,95.89,95.89,True,27,35,31,../../outputs/trainval_case_library_v1/close_vru_in_front_of_ego/rank_01_scene_0991_sample_031/evidence.png,../../outputs/trainval_case_library_v1/close_vru_in_front_of_ego/rank_01_scene_0991_sample_031,,,,,,,,,
audit_0009,14262d82d2a249f4b3565b85ec656264:eaf881417c39443791fb51b5fa9f6d43,proximity,high_score,front_vru_close,close VRU in front of ego,scene-0991,40,human.pedestrian.adult,95.56,95.56,True,36,40,40,../../outputs/trainval_case_library_v1/close_vru_in_front_of_ego/rank_02_scene_0991_sample_040/evidence.png,../../outputs/trainval_case_library_v1/close_vru_in_front_of_ego/rank_02_scene_0991_sample_040,,,,,,,,,
audit_0010,ee06737eaacb4c1db2042e0a9601382b:e5fb9bc8abdd4b72a526e1a025e15162,stopped_lead,high_score,stopped_lead_bus,stopped bus blocking ego,scene-0398,26,vehicle.bus.rigid,94.34,94.34,True,23,29,29,../../outputs/trainval_case_library_v1/stopped_bus_blocking_ego/rank_01_scene_0398_sample_026/evidence.png,../../outputs/trainval_case_library_v1/stopped_bus_blocking_ego/rank_01_scene_0398_sample_026,,,,,,,,,
